it,SNR,mod,acc,f1
0,-10,BPSK,0.15619047619047619,0.12605042016806722
0,-10,QAM16,0.15619047619047619,0.08438818565400845
0,-10,QPSK,0.15619047619047619,0.24362923550826102
0,-10,8PSK,0.15619047619047619,0.06483790523690773
0,-10,GFSK,0.15619047619047619,0.08134642356241234
0,-10,CPFSK,0.15619047619047619,0.06344827586206896
0,-10,PAM4,0.15619047619047619,0.11046511627906977
0,-8,BPSK,0.1988095238095238,0.13643410852713175
0,-8,QAM16,0.1988095238095238,0.18378378378378377
0,-8,QPSK,0.1988095238095238,0.276885043263288
0,-8,8PSK,0.1988095238095238,0.06939281288723669
0,-8,GFSK,0.1988095238095238,0.14890885750962773
0,-8,CPFSK,0.1988095238095238,0.03452855245683931
0,-8,PAM4,0.1988095238095238,0.33207547169811324
0,-6,BPSK,0.33166666666666667,0.21630094043887144
0,-6,QAM16,0.33166666666666667,0.5743380855397148
0,-6,QPSK,0.33166666666666667,0.318557475582269
0,-6,8PSK,0.33166666666666667,0.09068627450980392
0,-6,GFSK,0.33166666666666667,0.3542600896860987
0,-6,CPFSK,0.33166666666666667,0.07692307692307693
0,-6,PAM4,0.33166666666666667,0.6385068762278978
0,-4,BPSK,0.4438095238095238,0.3330427201394943
0,-4,QAM16,0.4438095238095238,0.7479307750188112
0,-4,QPSK,0.4438095238095238,0.3553349875930521
0,-4,8PSK,0.4438095238095238,0.10386473429951691
0,-4,GFSK,0.4438095238095238,0.4642507345739471
0,-4,CPFSK,0.4438095238095238,0.1074705111402359
0,-4,PAM4,0.4438095238095238,0.7663839629915189
0,-2,BPSK,0.4357142857142857,0.4589285714285714
0,-2,QAM16,0.4357142857142857,0.510406342913776
0,-2,QPSK,0.4357142857142857,0.26731078904991945
0,-2,8PSK,0.4357142857142857,0.12796208530805686
0,-2,GFSK,0.4357142857142857,0.5089201877934273
0,-2,CPFSK,0.4357142857142857,0.1008174386920981
0,-2,PAM4,0.4357142857142857,0.7697893972403776
0,0,BPSK,0.4614285714285714,0.604989604989605
0,0,QAM16,0.4614285714285714,0.4042138119391338
0,0,QPSK,0.4614285714285714,0.06404657933042213
0,0,8PSK,0.4614285714285714,0.0527638190954774
0,0,GFSK,0.4614285714285714,0.5953109072375129
0,0,CPFSK,0.4614285714285714,0.4794651384909265
0,0,PAM4,0.4614285714285714,0.7961876832844575
0,2,BPSK,0.5885714285714285,0.7108910891089109
0,2,QAM16,0.5885714285714285,0.5380053908355795
0,2,QPSK,0.5885714285714285,0.16666666666666669
0,2,8PSK,0.5885714285714285,0.3170731707317073
0,2,GFSK,0.5885714285714285,0.7033816425120774
0,2,CPFSK,0.5885714285714285,0.6838995568685375
0,2,PAM4,0.5885714285714285,0.8593996840442338
0,4,BPSK,0.6930952380952381,0.7988929889298892
0,4,QAM16,0.6930952380952381,0.7147814018043026
0,4,QPSK,0.6930952380952381,0.3132250580046404
0,4,8PSK,0.6930952380952381,0.5441283734500365
0,4,GFSK,0.6930952380952381,0.7042532146389713
0,4,CPFSK,0.6930952380952381,0.7687983134223472
0,4,PAM4,0.6930952380952381,0.913907284768212
0,6,BPSK,0.7283333333333334,0.8350694444444444
0,6,QAM16,0.7283333333333334,0.7697262479871175
0,6,QPSK,0.7283333333333334,0.3952225841476656
0,6,8PSK,0.7283333333333334,0.6116040955631399
0,6,GFSK,0.7283333333333334,0.7276227141482194
0,6,CPFSK,0.7283333333333334,0.7833572453371592
